candidate,benchmark,trial_index,success,timed_out,coverage_below_baseline,candidate_fault_coverage,baseline_fault_coverage,coverage_delta,pattern_delta,pattern_delta_pct,runtime_delta,runtime_delta_pct,score_delta,wins_benchmark,candidate_patterns,baseline_patterns,candidate_runtime,baseline_runtime,candidate_score,baseline_score,adaptive_compaction_enabled,adaptive_shuffle_limit,adaptive_compaction_stopped_early,adaptive_compaction_min_benefit,run_id,run_dir
adaptive_c2,DMAtc.bench,1,True,False,False,94.562,94.562,0.0,81.66666666666606,0.7615791109729504,-7.394333333333332,-19.764955361120514,-0.07723333333332505,False,10805.0,10723.333333333334,30.017,37.41133333333333,-16.4897,-16.412466666666674,True,1,True,1.0,20260615-180019_candidate_adaptive_c2_trial1_DMAtc_f0ecab7c,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-180019_candidate_adaptive_c2_trial1_DMAtc_f0ecab7c
adaptive_c2,DMAtc.bench,2,True,False,False,94.562,94.562,0.0,88.66666666666606,0.8268573204849181,-6.611333333333331,-17.672006700286893,-0.22553333333333114,False,10812.0,10723.333333333334,30.8,37.41133333333333,-16.638000000000005,-16.412466666666674,True,1,True,1.0,20260615-180037_candidate_adaptive_c2_trial2_DMAtc_00b523c2,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-180037_candidate_adaptive_c2_trial2_DMAtc_00b523c2
adaptive_c2,DMAtc.bench,3,True,False,False,94.562,94.562,0.0,73.66666666666606,0.6869754429592732,-5.711333333333332,-15.266318584386191,-0.16553333333332887,False,10797.0,10723.333333333334,31.7,37.41133333333333,-16.578000000000003,-16.412466666666674,True,1,True,1.0,20260615-180056_candidate_adaptive_c2_trial3_DMAtc_044ce3e2,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-180056_candidate_adaptive_c2_trial3_DMAtc_044ce3e2
adaptive_c1_learning,pcitc.bench,1,True,False,False,99.826,99.82599999999998,1.4210854715202004e-14,0.0,0.0,-0.23299999999999876,-1.715379518515783,0.023299999999998988,True,5943.0,5943.0,13.35,13.582999999999998,39.06099999999999,39.037699999999994,True,1,False,1.0,20260615-180115_candidate_adaptive_c1_learning_trial1_pcitc_7417a35f,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-180115_candidate_adaptive_c1_learning_trial1_pcitc_7417a35f
adaptive_c1_learning,pcitc.bench,2,True,False,False,99.826,99.82599999999998,1.4210854715202004e-14,1.0,0.016826518593303048,0.13400000000000212,0.9865272767430032,-0.023399999999995202,False,5944.0,5943.0,13.717,13.582999999999998,39.0143,39.037699999999994,True,1,False,1.0,20260615-180123_candidate_adaptive_c1_learning_trial2_pcitc_2db3ba3a,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-180123_candidate_adaptive_c1_learning_trial2_pcitc_2db3ba3a
adaptive_c1_learning,pcitc.bench,3,True,False,False,99.826,99.82599999999998,1.4210854715202004e-14,2.0,0.033653037186606095,-0.1659999999999986,-1.2221158801442877,-0.003400000000006287,False,5945.0,5943.0,13.417,13.582999999999998,39.03429999999999,39.037699999999994,True,1,False,1.0,20260615-180131_candidate_adaptive_c1_learning_trial3_pcitc_d85a78d1,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-180131_candidate_adaptive_c1_learning_trial3_pcitc_d85a78d1
adaptive_c1_learning,destc.bench,1,True,False,False,100.0,100.0,0.0,6.666666666666686,1.9193857965451109,-1.7833333333333314,-7.781931373547245,0.11166666666666458,True,354.0,347.3333333333333,21.133,22.91633333333333,94.3467,94.23503333333333,True,1,False,1.0,20260615-180139_candidate_adaptive_c1_learning_trial1_destc_fbfb4113,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-180139_candidate_adaptive_c1_learning_trial1_destc_fbfb4113
adaptive_c1_learning,destc.bench,2,True,False,False,100.0,100.0,0.0,7.666666666666686,2.2072936660268767,-1.1663333333333306,-5.089528574961079,0.03996666666667181,True,355.0,347.3333333333333,21.75,22.91633333333333,94.275,94.23503333333333,True,1,False,1.0,20260615-180152_candidate_adaptive_c1_learning_trial2_destc_31b77cbe,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-180152_candidate_adaptive_c1_learning_trial2_destc_31b77cbe
adaptive_c1_learning,destc.bench,3,True,False,False,100.0,100.0,0.0,7.666666666666686,2.2072936660268767,-1.266333333333332,-5.525898558524482,0.04996666666666272,True,355.0,347.3333333333333,21.65,22.91633333333333,94.285,94.23503333333333,True,1,False,1.0,20260615-180205_candidate_adaptive_c1_learning_trial3_destc_94c3b51d,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-180205_candidate_adaptive_c1_learning_trial3_destc_94c3b51d
adaptive_c1_learning,DMAtc.bench,1,True,False,False,94.562,94.562,0.0,3.6666666666660603,0.03419334783959646,-0.3613333333333344,-0.9658392287542129,-0.0005333333333226165,False,10727.0,10723.333333333334,37.05,37.41133333333333,-16.412999999999997,-16.412466666666674,True,1,False,1.0,20260615-180218_candidate_adaptive_c1_learning_trial1_DMAtc_1877dc1c,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-180218_candidate_adaptive_c1_learning_trial1_DMAtc_1877dc1c
adaptive_c1_learning,DMAtc.bench,2,True,False,False,94.562,94.562,0.0,-1.3333333333339397,-0.012433944668951877,-0.5283333333333289,-1.4122280235935516,0.06616666666667115,True,10722.0,10723.333333333334,36.883,37.41133333333333,-16.346300000000003,-16.412466666666674,True,1,False,1.0,20260615-180241_candidate_adaptive_c1_learning_trial2_DMAtc_095cd645,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-180241_candidate_adaptive_c1_learning_trial2_DMAtc_095cd645
adaptive_c1_learning,DMAtc.bench,3,True,False,False,94.562,94.562,0.0,-0.33333333333393966,-0.00310848616724221,0.7886666666666713,2.108095586007818,-0.07553333333333256,False,10723.0,10723.333333333334,38.2,37.41133333333333,-16.488000000000007,-16.412466666666674,True,1,False,1.0,20260615-180303_candidate_adaptive_c1_learning_trial3_DMAtc_b27b2250,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-180303_candidate_adaptive_c1_learning_trial3_DMAtc_b27b2250
adaptive_c2_learning,pcitc.bench,1,True,False,False,99.826,99.82599999999998,1.4210854715202004e-14,31.0,0.5216220763923943,-1.3499999999999979,-9.93889420599277,-0.17500000000000426,False,5974.0,5943.0,12.233,13.582999999999998,38.86269999999999,39.037699999999994,True,1,True,1.0,20260615-180326_candidate_adaptive_c2_learning_trial1_pcitc_a9a7ca37,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-180326_candidate_adaptive_c2_learning_trial1_pcitc_a9a7ca37
adaptive_c2_learning,pcitc.bench,2,True,False,False,99.826,99.82599999999998,1.4210854715202004e-14,28.0,0.47114252061248524,-1.4999999999999982,-11.043215784436416,-0.13000000000000256,False,5971.0,5943.0,12.083,13.582999999999998,38.90769999999999,39.037699999999994,True,1,True,1.0,20260615-180333_candidate_adaptive_c2_learning_trial2_pcitc_c63bc0f8,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-180333_candidate_adaptive_c2_learning_trial2_pcitc_c63bc0f8
adaptive_c2_learning,pcitc.bench,3,True,False,False,99.826,99.82599999999998,1.4210854715202004e-14,28.0,0.47114252061248524,-1.3999999999999986,-10.307001398807323,-0.14000000000000057,False,5971.0,5943.0,12.183,13.582999999999998,38.89769999999999,39.037699999999994,True,1,True,1.0,20260615-180341_candidate_adaptive_c2_learning_trial3_pcitc_4e7ff66b,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-180341_candidate_adaptive_c2_learning_trial3_pcitc_4e7ff66b
adaptive_c2_learning,destc.bench,1,True,False,False,100.0,100.0,0.0,42.666666666666686,12.284069097888683,-7.34933333333333,-32.070284658685935,0.30826666666665403,True,390.0,347.3333333333333,15.567,22.91633333333333,94.54329999999999,94.23503333333333,True,1,True,1.0,20260615-180348_candidate_adaptive_c2_learning_trial1_destc_84365f14,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-180348_candidate_adaptive_c2_learning_trial1_destc_84365f14
adaptive_c2_learning,destc.bench,2,True,False,False,100.0,100.0,0.0,37.666666666666686,10.844529750479852,-7.43333333333333,-32.436835444879186,0.36666666666667425,True,385.0,347.3333333333333,15.483,22.91633333333333,94.60170000000001,94.23503333333333,True,1,True,1.0,20260615-180357_candidate_adaptive_c2_learning_trial2_destc_b88fd1d4,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-180357_candidate_adaptive_c2_learning_trial2_destc_b88fd1d4
