candidate,candidate_source,hypothesis,trial_index,run_id,benchmark,options,returncode,success,timed_out,error,fault_coverage,test_patterns,test_patterns_before_compaction,test_patterns_after_compaction,collapsed_faults,redundant_faults,aborted_faults,backtrackings,runtime_seconds,adaptive_compaction_enabled,adaptive_shuffle_limit,adaptive_compaction_stopped_early,adaptive_compaction_min_benefit,score,raw_score,passes_constraints,constraint_reason,run_dir
adaptive_c2,adaptive_compaction,Explicit default shuffle request; adaptive core should reduce wasted shuffle rounds when benefit is low.,1,20260615-175955_candidate_adaptive_c2_trial1_destc_41ed2fd1,destc.bench,"[""-c"", ""2""]",0,True,False,,100.0,392,477,392,295215,0,0,1,13.433,True,1,True,1.0,94.7367,94.7367,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-175955_candidate_adaptive_c2_trial1_destc_41ed2fd1
adaptive_c2,adaptive_compaction,Explicit default shuffle request; adaptive core should reduce wasted shuffle rounds when benefit is low.,2,20260615-180004_candidate_adaptive_c2_trial2_destc_5050a3c8,destc.bench,"[""-c"", ""2""]",0,True,False,,100.0,401,477,401,295215,0,0,1,13.1,True,1,True,1.0,94.67999999999999,94.67999999999999,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-180004_candidate_adaptive_c2_trial2_destc_5050a3c8
adaptive_c2,adaptive_compaction,Explicit default shuffle request; adaptive core should reduce wasted shuffle rounds when benefit is low.,3,20260615-180011_candidate_adaptive_c2_trial3_destc_365771a8,destc.bench,"[""-c"", ""2""]",0,True,False,,100.0,387,477,387,295215,0,0,1,12.767,True,1,True,1.0,94.85329999999999,94.85329999999999,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-180011_candidate_adaptive_c2_trial3_destc_365771a8
adaptive_c2,adaptive_compaction,Explicit default shuffle request; adaptive core should reduce wasted shuffle rounds when benefit is low.,1,20260615-180019_candidate_adaptive_c2_trial1_DMAtc_f0ecab7c,DMAtc.bench,"[""-c"", ""2""]",0,True,False,,94.562,10805,12557,10805,77788,2071,2159,24460,30.017,True,1,True,1.0,-16.4897,-16.4897,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-180019_candidate_adaptive_c2_trial1_DMAtc_f0ecab7c
adaptive_c2,adaptive_compaction,Explicit default shuffle request; adaptive core should reduce wasted shuffle rounds when benefit is low.,2,20260615-180037_candidate_adaptive_c2_trial2_DMAtc_00b523c2,DMAtc.bench,"[""-c"", ""2""]",0,True,False,,94.562,10812,12557,10812,77788,2071,2159,24460,30.8,True,1,True,1.0,-16.638000000000005,-16.638000000000005,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-180037_candidate_adaptive_c2_trial2_DMAtc_00b523c2
adaptive_c2,adaptive_compaction,Explicit default shuffle request; adaptive core should reduce wasted shuffle rounds when benefit is low.,3,20260615-180056_candidate_adaptive_c2_trial3_DMAtc_044ce3e2,DMAtc.bench,"[""-c"", ""2""]",0,True,False,,94.562,10797,12557,10797,77788,2071,2159,24460,31.7,True,1,True,1.0,-16.578000000000003,-16.578000000000003,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-180056_candidate_adaptive_c2_trial3_DMAtc_044ce3e2
adaptive_c1_learning,adaptive_compaction,Check whether static learning still hurts runtime after adaptive compaction reduces shuffle effort.,1,20260615-180115_candidate_adaptive_c1_learning_trial1_pcitc_7417a35f,pcitc.bench,"[""-c"", ""1"", ""-L""]",0,True,False,,99.826,5943,7069,5943,75768,131,1,134,13.35,True,1,False,1.0,39.06099999999999,39.06099999999999,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-180115_candidate_adaptive_c1_learning_trial1_pcitc_7417a35f
adaptive_c1_learning,adaptive_compaction,Check whether static learning still hurts runtime after adaptive compaction reduces shuffle effort.,2,20260615-180123_candidate_adaptive_c1_learning_trial2_pcitc_2db3ba3a,pcitc.bench,"[""-c"", ""1"", ""-L""]",0,True,False,,99.826,5944,7069,5944,75768,131,1,134,13.717,True,1,False,1.0,39.0143,39.0143,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-180123_candidate_adaptive_c1_learning_trial2_pcitc_2db3ba3a
adaptive_c1_learning,adaptive_compaction,Check whether static learning still hurts runtime after adaptive compaction reduces shuffle effort.,3,20260615-180131_candidate_adaptive_c1_learning_trial3_pcitc_d85a78d1,pcitc.bench,"[""-c"", ""1"", ""-L""]",0,True,False,,99.826,5945,7069,5945,75768,131,1,134,13.417,True,1,False,1.0,39.03429999999999,39.03429999999999,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-180131_candidate_adaptive_c1_learning_trial3_pcitc_d85a78d1
adaptive_c1_learning,adaptive_compaction,Check whether static learning still hurts runtime after adaptive compaction reduces shuffle effort.,1,20260615-180139_candidate_adaptive_c1_learning_trial1_destc_fbfb4113,destc.bench,"[""-c"", ""1"", ""-L""]",0,True,False,,100.0,354,477,354,295215,0,0,1,21.133,True,1,False,1.0,94.3467,94.3467,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-180139_candidate_adaptive_c1_learning_trial1_destc_fbfb4113
adaptive_c1_learning,adaptive_compaction,Check whether static learning still hurts runtime after adaptive compaction reduces shuffle effort.,2,20260615-180152_candidate_adaptive_c1_learning_trial2_destc_31b77cbe,destc.bench,"[""-c"", ""1"", ""-L""]",0,True,False,,100.0,355,477,355,295215,0,0,1,21.75,True,1,False,1.0,94.275,94.275,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-180152_candidate_adaptive_c1_learning_trial2_destc_31b77cbe
adaptive_c1_learning,adaptive_compaction,Check whether static learning still hurts runtime after adaptive compaction reduces shuffle effort.,3,20260615-180205_candidate_adaptive_c1_learning_trial3_destc_94c3b51d,destc.bench,"[""-c"", ""1"", ""-L""]",0,True,False,,100.0,355,477,355,295215,0,0,1,21.65,True,1,False,1.0,94.285,94.285,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-180205_candidate_adaptive_c1_learning_trial3_destc_94c3b51d
adaptive_c1_learning,adaptive_compaction,Check whether static learning still hurts runtime after adaptive compaction reduces shuffle effort.,1,20260615-180218_candidate_adaptive_c1_learning_trial1_DMAtc_1877dc1c,DMAtc.bench,"[""-c"", ""1"", ""-L""]",0,True,False,,94.562,10727,12557,10727,77788,2070,2160,24461,37.05,True,1,False,1.0,-16.412999999999997,-16.412999999999997,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-180218_candidate_adaptive_c1_learning_trial1_DMAtc_1877dc1c
adaptive_c1_learning,adaptive_compaction,Check whether static learning still hurts runtime after adaptive compaction reduces shuffle effort.,2,20260615-180241_candidate_adaptive_c1_learning_trial2_DMAtc_095cd645,DMAtc.bench,"[""-c"", ""1"", ""-L""]",0,True,False,,94.562,10722,12557,10722,77788,2070,2160,24461,36.883,True,1,False,1.0,-16.346300000000003,-16.346300000000003,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-180241_candidate_adaptive_c1_learning_trial2_DMAtc_095cd645
adaptive_c1_learning,adaptive_compaction,Check whether static learning still hurts runtime after adaptive compaction reduces shuffle effort.,3,20260615-180303_candidate_adaptive_c1_learning_trial3_DMAtc_b27b2250,DMAtc.bench,"[""-c"", ""1"", ""-L""]",0,True,False,,94.562,10723,12557,10723,77788,2070,2160,24461,38.2,True,1,False,1.0,-16.488000000000007,-16.488000000000007,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-180303_candidate_adaptive_c1_learning_trial3_DMAtc_b27b2250
adaptive_c2_learning,adaptive_compaction,Default shuffle request plus static learning under adaptive compaction.,1,20260615-180326_candidate_adaptive_c2_learning_trial1_pcitc_a9a7ca37,pcitc.bench,"[""-c"", ""2"", ""-L""]",0,True,False,,99.826,5974,7069,5974,75768,131,1,134,12.233,True,1,True,1.0,38.86269999999999,38.86269999999999,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-180326_candidate_adaptive_c2_learning_trial1_pcitc_a9a7ca37
adaptive_c2_learning,adaptive_compaction,Default shuffle request plus static learning under adaptive compaction.,2,20260615-180333_candidate_adaptive_c2_learning_trial2_pcitc_c63bc0f8,pcitc.bench,"[""-c"", ""2"", ""-L""]",0,True,False,,99.826,5971,7069,5971,75768,131,1,134,12.083,True,1,True,1.0,38.90769999999999,38.90769999999999,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-180333_candidate_adaptive_c2_learning_trial2_pcitc_c63bc0f8
adaptive_c2_learning,adaptive_compaction,Default shuffle request plus static learning under adaptive compaction.,3,20260615-180341_candidate_adaptive_c2_learning_trial3_pcitc_4e7ff66b,pcitc.bench,"[""-c"", ""2"", ""-L""]",0,True,False,,99.826,5971,7069,5971,75768,131,1,134,12.183,True,1,True,1.0,38.89769999999999,38.89769999999999,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-180341_candidate_adaptive_c2_learning_trial3_pcitc_4e7ff66b
adaptive_c2_learning,adaptive_compaction,Default shuffle request plus static learning under adaptive compaction.,1,20260615-180348_candidate_adaptive_c2_learning_trial1_destc_84365f14,destc.bench,"[""-c"", ""2"", ""-L""]",0,True,False,,100.0,390,477,390,295215,0,0,1,15.567,True,1,True,1.0,94.54329999999999,94.54329999999999,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-180348_candidate_adaptive_c2_learning_trial1_destc_84365f14
adaptive_c2_learning,adaptive_compaction,Default shuffle request plus static learning under adaptive compaction.,2,20260615-180357_candidate_adaptive_c2_learning_trial2_destc_b88fd1d4,destc.bench,"[""-c"", ""2"", ""-L""]",0,True,False,,100.0,385,477,385,295215,0,0,1,15.483,True,1,True,1.0,94.60170000000001,94.60170000000001,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-180357_candidate_adaptive_c2_learning_trial2_destc_b88fd1d4
adaptive_c2_learning,adaptive_compaction,Default shuffle request plus static learning under adaptive compaction.,3,20260615-180407_candidate_adaptive_c2_learning_trial3_destc_421cc4e0,destc.bench,"[""-c"", ""2"", ""-L""]",0,True,False,,100.0,400,477,400,295215,0,0,1,15.483,True,1,True,1.0,94.4517,94.4517,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-180407_candidate_adaptive_c2_learning_trial3_destc_421cc4e0
adaptive_c2_learning,adaptive_compaction,Default shuffle request plus static learning under adaptive compaction.,1,20260615-180416_candidate_adaptive_c2_learning_trial1_DMAtc_89beb36b,DMAtc.bench,"[""-c"", ""2"", ""-L""]",0,True,False,,94.562,10813,12557,10813,77788,2070,2160,24461,31.767,True,1,True,1.0,-16.744699999999998,-16.744699999999998,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-180416_candidate_adaptive_c2_learning_trial1_DMAtc_89beb36b
adaptive_c2_learning,adaptive_compaction,Default shuffle request plus static learning under adaptive compaction.,2,20260615-180435_candidate_adaptive_c2_learning_trial2_DMAtc_654d51b7,DMAtc.bench,"[""-c"", ""2"", ""-L""]",0,True,False,,94.562,10825,12557,10825,77788,2070,2160,24461,31.433,True,1,True,1.0,-16.831300000000002,-16.831300000000002,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-180435_candidate_adaptive_c2_learning_trial2_DMAtc_654d51b7
adaptive_c2_learning,adaptive_compaction,Default shuffle request plus static learning under adaptive compaction.,3,20260615-181333_candidate_adaptive_c2_learning_trial3_DMAtc_b997aa37,DMAtc.bench,"[""-c"", ""2"", ""-L""]",0,True,False,,94.562,10797,12557,10797,77788,2070,2160,24461,56.65,True,1,True,1.0,-19.073,-19.073,True,,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/Atalanta-Agent/results/runs/20260615-181333_candidate_adaptive_c2_learning_trial3_DMAtc_b997aa37
