candidate,benchmark,trial_index,success,timed_out,coverage_below_baseline,candidate_fault_coverage,baseline_fault_coverage,coverage_delta,pattern_delta,pattern_delta_pct,runtime_delta,runtime_delta_pct,score_delta,wins_benchmark,candidate_patterns,baseline_patterns,candidate_runtime,baseline_runtime,candidate_score,baseline_score,run_id,run_dir
compaction_c1_learning,pcitc.bench,2,True,False,False,99.826,99.826,0.0,1.0,0.016823687752355317,-3.4669999999999987,-20.37374390315566,0.33670000000000044,True,5945.0,5944.0,13.55,17.017,39.020999999999994,38.68429999999999,20260613-220951_candidate_compaction_c1_learning_trial2_pcitc_1f22a245,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-220951_candidate_compaction_c1_learning_trial2_pcitc_1f22a245
compaction_c1_learning,pcitc.bench,3,True,False,False,99.826,99.826,0.0,0.0,0.0,-3.75,-22.036786742669097,0.375,True,5944.0,5944.0,13.267,17.017,39.05929999999999,38.68429999999999,20260613-221000_candidate_compaction_c1_learning_trial3_pcitc_cd695572,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221000_candidate_compaction_c1_learning_trial3_pcitc_cd695572
compaction_c1_learning,destc.bench,1,True,False,False,100.0,100.0,0.0,3.0,0.847457627118644,-12.150000000000002,-36.70694864048339,1.1850000000000165,True,357.0,354.0,20.95,33.1,94.33500000000001,93.14999999999999,20260613-221008_candidate_compaction_c1_learning_trial1_destc_14363210,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221008_candidate_compaction_c1_learning_trial1_destc_14363210
compaction_c1_learning,destc.bench,2,True,False,False,100.0,100.0,0.0,-7.0,-1.977401129943503,-7.25,-21.903323262839876,0.7950000000000159,True,347.0,354.0,25.85,33.1,93.94500000000001,93.14999999999999,20260613-221020_candidate_compaction_c1_learning_trial2_destc_022cea6d,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221020_candidate_compaction_c1_learning_trial2_destc_022cea6d
compaction_c1_learning,destc.bench,3,True,False,False,100.0,100.0,0.0,5.0,1.4124293785310735,-14.083000000000002,-42.546827794561935,1.3582999999999998,True,359.0,354.0,19.017,33.1,94.50829999999999,93.14999999999999,20260613-221036_candidate_compaction_c1_learning_trial3_destc_8ad859f6,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221036_candidate_compaction_c1_learning_trial3_destc_8ad859f6
compaction_c1_learning,DMAtc.bench,1,True,False,False,94.562,94.562,0.0,-1.0,-0.009325748391308402,-7.767000000000003,-17.317725752508366,0.7867000000000033,True,10722.0,10723.0,37.083,44.85,-16.366300000000003,-17.153000000000006,20260613-221047_candidate_compaction_c1_learning_trial1_DMAtc_77fc6b41,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221047_candidate_compaction_c1_learning_trial1_DMAtc_77fc6b41
compaction_c1_learning,DMAtc.bench,2,True,False,False,94.562,94.562,0.0,3.0,0.02797724517392521,-9.317,-20.773690078037905,0.9016999999999982,True,10726.0,10723.0,35.533,44.85,-16.251300000000008,-17.153000000000006,20260613-221110_candidate_compaction_c1_learning_trial2_DMAtc_57dd9320,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221110_candidate_compaction_c1_learning_trial2_DMAtc_57dd9320
compaction_c1_learning,DMAtc.bench,3,True,False,False,94.562,94.562,0.0,0.0,0.0,-8.417000000000002,-18.767001114827206,0.8416999999999994,True,10723.0,10723.0,36.433,44.85,-16.311300000000006,-17.153000000000006,20260613-221131_candidate_compaction_c1_learning_trial3_DMAtc_09c58d59,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221131_candidate_compaction_c1_learning_trial3_DMAtc_09c58d59
phase2_b20_learning_seed1,pcitc.bench,1,True,False,False,99.826,99.826,0.0,-1.0,-0.016823687752355317,-3.1499999999999986,-18.510900863842032,0.32500000000000284,True,5943.0,5944.0,13.867,17.017,39.009299999999996,38.68429999999999,20260613-221153_candidate_phase2_b20_learning_seed1_trial1_pcitc_1232c8e5,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221153_candidate_phase2_b20_learning_seed1_trial1_pcitc_1232c8e5
phase2_b20_learning_seed1,pcitc.bench,2,True,False,False,99.826,99.826,0.0,-1.0,-0.016823687752355317,-3.0839999999999996,-18.12305341717106,0.3183999999999969,True,5943.0,5944.0,13.933,17.017,39.00269999999999,38.68429999999999,20260613-221201_candidate_phase2_b20_learning_seed1_trial2_pcitc_2c694350,/Users/huilingzhen/Desktop/0002-personal-projects/agent/atpg-based/LLM-Atalanta/results/runs/20260613-221201_candidate_phase2_b20_learning_seed1_trial2_pcitc_2c694350
